Kod,Vrsta,Kratki opis,Dugi opis,,,,
,,,,,,,
402,,Suha gradnja,,,,,
402.000,,Prethodne napomene,,,,,235012.64
,,ZTV - Dodatni tehnički uvjeti ugovora,"1.) Dodatni ugovoreni tehnički uvjeti dio su troškovnika te u slučaju ugovaranja postaju dio ugovora. Izvođač radova se dakle obavezuje na sve radove i primjene koje proizlaze iz ovih uvjeta te su one uračunate u cijenu, ukoliko nisu zasebno ponuđene.

2.) Cijene stavki se prikazuju kao neto iznos u državnoj valuti. Važeći zakonski propisani porez na dodanu vrijednost obračunava se zasebno.

3.) U slučaju proturječnosti dodatnih ugovorenih tehničkih uvjeta vrijede prvenstveno podaci iz troškovnika. U slučaju proturječnosti između troškovnika i tehničke dokumentacije koja se predaje prilikom natječaja, vrijedi tehnička dokumentacija.

4.) Prije početka davanja ponude, ponuditelj je dužan pažljivo pročitati kompletan tekst općih uvjeta uz troškovnik, općih i posebnih uvjeta uz svaku grupu radova, tekst samog troškovnika i ostale dijelove tehničke dokumentacije. Ako opis bilo koje stavke u troškovniku dovodi do sumnje o načinu izvedbe ili upotrebu gradiva zahtijevane kvalitete, treba prije predaje ponude zatražiti pojašnjenje od ovlaštene osobe Investitora. Naknadno pozivanje na manjkavost ili nepoznavanje projektno-tehničke dokumentacije ili opisa u troškovniku neće se uzeti u obzir, niti smatrati razlogom za produženje roka izvedbe, a niti će se priznati bilo kakva razlika u cijeni s tog naslova.

5.) Tehnička dokumentacija koja se predaje prilikom natječaja informativnog je karaktera, a ponuđač je dužan u svom trošku izvršiti kontrolu projektno tehničke dokumentacije u smislu točnosti, tehničke ispravnosti, izvedivosti i međusobne usklađenosti. Sve eventualne primjedbe ponuditelj/izvoditelj dužan je pravovremeno uz ponudu, a u svakom slučaju prije izvedbe u pisanom obliku dostaviti Nadzoru i Naručitelju

6.) Ponuditelj je dužan provesti i kontrolu lokacije na licu mjesta prije davanja ponude. Jedinične cijene za pojedine vrste radova sadrže i sve one posredne troškove koji nisu iskazani u troškovniku, ali su neminovni za izvršenje radova predviđenih projektom.

7.) Organizacija gradilišta uračunata je u cijenu, ukoliko nije ponuđena kao zasebna stavka.

8.) Dizalice za podizanje, skele, strojevi, alati, pomoćna sredstva i konstrukcije uzeti su u obzir te su uračunati u jediničnu cijenu.

9.) Skele za radove na fasadi i radove na krovu predmet su ovog natječaja. Ponuditelj smije koristiti postojeće skele uz poštivanje sigurnosnih uvjeta i na vlastitu odgovornost. Preinake na skelama nisu dozvoljene te se one moraju predati u ispravnom stanju u kojem su i preuzete.

10.) Kompletnu režiju gradilišta usigurava i rješava ponuditelj/izvođač i i uključena je u jediničnu cijenu.

11.) Ponuditelj je obvezan redovno prikupljati i ,pravilno skladištiti i odvoziti na ovlašteni deponij sve otpadne materijale, ostatke, krhotine, građevinski otpad, ambalaže, obični otpad i slično o vlastitom trošku. Kod odlaganja otpada potrebno je pridržavati se svih javnopravnih uputa i propisa.

12.) Onečišćenja koja uslijed radova nastaju na susjednim terenima, zgradama, putovima, cestama, trgovima i slično, izvođač radova treba svakodnevno čistiti.

13.) Izvođač preuzima odgovornost za osiguravanje, skladištenje i spremanje vlastite građevinske opreme, strojeva, uređaja, alata i slično. Jednako vrijedi i za građevinske materijale, elemente i za ugradnju određenih uređaja i objekata sve do primopredaje obavljenih građevinskih radova.

14.) Prilikom izvođenja radova, izvoditelj treba zaštititi sve susjedne plohe, dijelove konstrukcije i prethodno izvedene radove na prikladan način a u skladu sa pravilima zaštite na radu, tako da ne dođe do oštećenja istih. Troškove zaštite treba izvoditelj ukalkulirati u ponudbenu cijenu izvođenja radova. Ukoliko ipak dođe do oštećenja prethodno izvedenih radova za koje je odgovoran izvoditelj ili njegov kooperant, dužan je iste o svom trošku dovesti u stanje prije oštećenja ili naručiti iste radove kod drugog izvoditelja na svoj teret.

15.) Sve potrebne mjere prema javnopravnim uputama i propisima za sigurnost i zaštitu zdravlja trebaju se uzeti u obzir te ih se treba pridržavati prilikom izvođenja radova.

16.) Prilikom davanja ponude i izvođenja radova treba se uzeti u obzir, uračunati i pridržavati se
- svih državnih i javnopravnih zakona, smjernica i propisa
- svih odgovarajućih tehničkih standarda, pravila i smjernica
- općeprihvaćenih pravila tehnike
- uputa, propisa i napomena proizvođača za ugradnju i obradu
- Kauflandovih građevinskih opisa, ugovorenih uvjeta i ostalih Kauflandovih dokumenata i planova.

17.) Stavke troškovnika obuhvačaju konačno dovršenje radova definiranih po količini i kvaliteti, onosno podrazumijevaju se kao gotove, potpune i funkcionirajuće, uklj. sve potrebne male dijelove i sredstva za pričvršćivanje, pomoćne materijale i sredstva, podkonstrukcije itd., kao i sve dodatne i posebne usluge - čak i kada one nisu detaljno opisane.

18.) Ako su treće stranke uključene u izvođenje predradnji, izvođač radova ih treba provjeravati. U slučaju nepravilnosti ili prigovora pravovremeno treba informirati naručitelja, tako da može tehnički i organizacijski dovršiti poslove.

19.) Obavezno se treba pridržavati svih Kauflandovih proizvodnih uputa, osim ako postoje opravdani razlozi za odstupanje (npr. dostupnost). U tom slučaju izvođač treba ponuditi istovjetni proizvod ili sustav te potvrditi istovjetnost. O njoj odlučuje naručitelj.

20.) Sustavi se izvode isključivo pomoću komponenata koje su predviđene od strane proizvođača sustava.

21.) Svi materijali, građevinski elementi i uređaji koji neposredno utječu na izgled i funkcionalnost prije ugradnje se trebaju provjeriti. Ugrađuju se tek nakon što naručitelj ili ovlaštena osoba odobri ugradnju na gradilištu. O vrsti i obliku uzorka odlučuje naručitelj.

22.) Ako nije drukčije propisano, izmjene postojećih projektnih rješenja od strane ponuditelja/izvođača a koje utječu na mehaničku stabilnost, ponuditelj/izvođač je dužan u svom trošku ishoditi sve suglasnosti, dozvole i sl.
Projekt izvedenog stanja ukalkulirati u jedničnu cijenu te dostaviti Kauflandu u pisanom i digitalnom obliku.

23.) Svi radovi na objektu te primjenjeni sistemi gradnje moraju biti izvedeni prema pravilu struke, odnosnu u granicama dopuštenih tolerancija.

24.) Ukoliko je ugovoreni termin izvršenja objekta uključen i zimski odnosno ljetni period, to se neće posebno izvođaču priznavati na ime naknade za rad pri niskoj temperaturi, zaštita konstrukcija od hladnoće i vrućine, te atmosferskih nepogoda, sve mora biti uključeno u jediničnu cijenu. Za vrijeme zime objekat se mora zaštititi. Svi eventualni smrznuti dijelovi moraju se ukloniti i izvesti ponovo bez bilo kakve naplate. Ukoliko je temperatura niža od temperature pri kojoj je dozvoljen dotični rad, a Investitor ipak traži da se radi, Izvođač si ima pravo zaračunati naknadu po normi 6,006 ali u tom slučaju Izvođač snosi punu odgovornost za ispravnost i kvalitetu rada. To isto vrijedi i za zaštitu radova tokom ljeta od prebrzog sušenja uslijed visoke temperature.

25.) U jediničnu cijenu rada izvođač treba obuhvatiti i slijedeće radove, koji se neće zasebno platiti kao naknadni rad, čak i ako nisu izričito navedenei u troškovniku:
- sve vrste transporta građevinskih materijala, elemenata, uređaja, objekata itd. do mjesta ugradnje
- potrebne i uobičajene pripreme i predobrade tla
- sve vrste bušenja, zavarivanja, lijepljenja, malih dijelova, sredstava za pričvršćivanje, međupoložaja, izolacije, brtvljenja, folija, spojeva itd. koje su potrebne za priključak, montažu i pričvršćivanje građevinskih dijelova i elemenata
- stručna priprema i priključak na sve okolne dijelove, ugradbene i nadgradne elemente i propuste
- sve izrade kutova, spojnih površina i elemenata, završnih elemenata, slobodnih krajeva itd.
- sve podloge za montažu, priključak i pričvršćivanje kao što su beton, zidani elementi, čelik, aluminij, limovi, gips karton, itd.
- potrebne spojne, kose i okrugle rezove te ostatke rezanja
- Izrada otvora i proreza za instalacije i ugradbene elemente drugih izvođača
- interno povezivanje kablovima i priključak objekata, dovod prema električnim trošilima na gradilištu od strane elektro izvođača",,,,
,,Kvaliteta površine od punjenja,"Kod nanošenja žbuke na gips ploče, razlikuju se sljedeći razredi kvalitete:
Razred kvalitete 1 (Q1): Osnovno nanošenje žbuke bez optičkih zahtjeva, punjenje spojnih fuga između gips ploča, presvlačenje vidljivih dijelova sredstava za pričvršćivanje, uklanjanje prekomjerne žbuke.
Razred kvalitete 2 (Q2): Standardno nanošenje žbuke uz normalne optičke zahtjeve, izvedba kao Q1, uz dodatno naknadno nanošenje žbuke (fina žbuka, finiš) do postizanja nevidljivog prijelaza na površinu ploče, brušenje žbukanih područja po potrebi.
Razred kvalitete 3 (Q3): Posebno nanošenje žbuke s većim optičkim zahtjevima, izvedba kao Q2, uz dodatno šire žbukanje fuga, oštro povlačenje preostale kartonske površine za zatvaranje svih pora žbukom, brušenje žbukane površine po potrebi.
Razred kvalitete 4 (Q4): Posebno nanošenje žbuke uz najveće optičke zahtjeve, izvedba kao Q3, uz dodatno presvlačenje površine i poravnavanje cijele površine prikladnim materijalom (debljina sloja veća od 1 mm), brušenje ožbukane površine po potrebi.",,,,
,,Suhozid za razgraničenje izvedbe,"U sljedećim pozicijama potrebno je uzeti u obzir i uračunati sljedeće usluge, čak i ako nisu izričito navedene:
- Mjerenje zidova i stropova
- prijepis oznaka visine koje su potrebne za provedbu radova
- potrebne izrade fuga
- Izradu kutova i priključaka pomoću profila iz suhogradnje
- potrebne podkonstrukcije, zamjene i pojačanja
- Ugradnju armaturnih mreža u područjima u kojima postoji opasnost od pukotina
- potrebna zidna pojačanja od višeslojnih zalijepljenih drvenih ploča
- Pružanje usluga u nekoliko dijelova gradilišta za izvedbu instalacija na gradilištu
- Postavljanje zvučne izolacije na proboje za vodove
- Isporuku svih građevinskih potvrda (za protupožarnu, zvučnu i toplinsku zaštitu)
- Nanošenje žbuke na sve slojeve kod višeslojnih obloga
- elastične fuge koje se mogu premazati na svim unutarnjim kutovima i priključcima
- sve standardne priključke na podovima, stropovima, zidovima ili potpornjima
- potrebne duge nosače kod svih krovnih konstrukcija
- Okvire vrata isporučuje odjeljak za drvena i čelična vrata",,,,
402.010,,Unutarnji zidovi,,,,,190353.37
402.010.00100,,"x..TW2..x - gipskartonski zid debljine [150] mm, obostrano GKB ploča","Izrada pregradnog montažnog zida iz GKP ploča oznake TW2:
• gips-kartonske ploče (1.000 kg/m3); dvostruka obloga 2x1,25cm
• jednostruka metalna potkonstrukcija (CW [ 100mm ]) za elastični ovjes gips-kartonskih ploča, ispuna samonosiva meka mineralna vuna debljine [ 100]mm)
• gips-kartonske ploče (1.000 kg/m3); dvostruka obloga 2x1,25cm
Svi spojevi moraju biti ljepljeni, bandažirani i gletani, fugirani, s obje strane pripremljeno za bojanje, bez bojanja. Izvedba do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava.

Debljina zida: [ 150 ] mm
Visina zida: do [ 6,15 ] m
Kvaliteta gleta: Q - [ 2 ]",910,m2,36.2,32942
402.010.00105,,"x..TW2..x - gipskartonski zid debljine [ 125 ] mm, obostrano GKB ploča","Izrada pregradnog montažnog zida iz GKP ploča oznake TW2:
• gips-kartonske ploče (1.000 kg/m3); dvostruka obloga 2x1,25cm;
• jednostruka metalna potkonstrukcija (CW [ 100mm ]) za elastični ovjes gips-kartonskih ploča, ispuna samonosiva meka mineralna vuna debljine [ 60 ]mm)
• gips-kartonske ploče (1.000 kg/m3); dvostruka obloga 2x1,25cm;
Svi spojevi moraju biti ljepljeni, bandažirani i gletani, fugirani, s obje strane pripremljeno za bojanje, bez bojanja. Izvedba do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava.

Debljina zida: [ 125 ] mm
Visina zida: do [ 5,95] m
Kvaliteta gleta: Q - [ 2 ]",210,m2,35.8,7518
402.010.00110,,"x..TW2..x - gipskartonski zid debljine [ 125 ] mm, obostrano GKB ploča","Izrada pregradnog montažnog zida iz GKP ploča oznake TW2:
• gips-kartonske ploče (1.000 kg/m3); dvostruka obloga 2x1,25cm; visina oblaganja [3,10 ] m od gotovog poda
• jednostruka metalna potkonstrukcija (CW [ 100mm ]) za elastični ovjes gips-kartonskih ploča, ispuna samonosiva meka mineralna vuna debljine [ 60 ]mm)
• gips-kartonske ploče (1.000 kg/m3); dvostruka obloga 2x1,25cm; visina oblaganja [3,10 ] m od gotovog poda
Svi spojevi moraju biti ljepljeni, bandažirani i gletani, fugirani, s obje strane pripremljeno za bojanje, bez bojanja. Izvedba do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava.

Debljina zida: [ 125 ] mm
Visina zida: do [ 5,95] m
Kvaliteta gleta: Q - [ 2 ]",172,m2,35.8,6157.6
