R.br.,Opis stavke,JM,Kol.,JC [€],UC [€]
,,,,,
,12.17. GRAĐEVINSKI RADOVI ZA POTREBE ELEKETROINSTALACIJA,,,,
,,,,,
,,,,,
12.17.1.,"Strojni iskop za potrebe vanjske rasvjete, NN priključka",m,160,10,1600
," - strojni iskop za potrebe postavljanja opskrbnih kabela građevine, vanjske rasvjete, reklamnih stupova,  izrade kabelske kanalizacije za buduću punionicu električnih vozila, povezivanje kontrolnog vodomjera, uzemljivača vanjskih instalacija.
Rov dubine 0,8 m i širine 0,4 m.
Postava posteljice 10 cm s nabijanjem pijeska, te postava zaštitnog pijeska u visini 0,3 m s nabijanjem, te zatrpavanje  rova do nivoa potrebnog za završni sloj asfalta ili do ravnine  okolnog terena. Nasuti materijal je potrebno propisno nabiti do zbijenosti 100 MPa. Višak materijala potrebno zbrinuti na deponiju. U cijenu je uključen rad i materijal. 
Obračun po m' rova.",,,,
,,,,,
12.17.2.,"Strojni iskop za potrebe vanjske rasvjete, NN priključka",m,125,10,1250
," - strojni iskop za potrebe postavljanja opskrbnih kabela građevine, vanjske rasvjete, reklamnih stupova,  izrade kabelske kanalizacije za buduću punionicu električnih vozila, povezivanje kontrolnog vodomjera, uzemljivača vanjskih instalacija.
Rov dubine 1,1 m i širine 0,8 m.
Postava posteljice 10 cm s nabijanjem pijeska, te postava zaštitnog pijeska u visini 0,3 m s nabijanjem, te zatrpavanje  rova do nivoa potrebnog za završni sloj asfalta ili do ravnine  okolnog terena. Nasuti materijal je potrebno propisno nabiti do zbijenosti 100 MPa. Višak materijala potrebno zbrinuti na deponiju. U cijenu je uključen rad i materijal. 
Obračun po m' rova.",,,,
,,,,,
12.17.3.,Strojni iskop za postave zdenca MZD1 vanjske NN instalacije,kom,7,95,665
," - strojni iskop za potrebe postave tipskog zdenca MZD1 dimenzija 78x108x101 cm. Iskop dimenzija 110x140x166 cm. 
Nakon iskopa potrebno izvršiti palniranje i strojno zbijanje temeljnog tla za ugradnju tipskog betonskog zdenca MZD1 do potrebne zbijenosti po uputi geomehaničara. Višak materijala potrebno zbrinuti na deponiju. U cijenu je uključen rad i materijal. 
Obračun po komadu.",,,,
,,,,,
12.17.4.,Strojni iskop za postave zdenca MZD2 vanjske NN instalacije,kom,3,95,285
," - strojni iskop za potrebe postave tipskog zdenca MZD2 dimenzija 118x108x101 cm. Iskop dimenzija 150x140x166 cm. 
Nakon iskopa potrebno izvršiti palniranje i strojno zbijanje temeljnog tla za ugradnju tipskog betonskog zdenca MZD2 do potrebne zbijenosti po uputi geomehaničara. Višak materijala potrebno zbrinuti na deponiju. U cijenu je uključen rad i materijal. 
Obračun po komadu.",,,,
,,,,,
12.17.5.,Strojni iskop za potrebe temelja stupa vanjske rasvjete,kom,6,80,480
," - strojni iskop za potrebe izrade temelja rasvjetnog stupa dimenzija 110x110x110 cm. Višak materijala potrebno zbrinuti na deponiju. U cijenu je uključen rad i materijal. 
Obračun po komadu.",,,,
,,,,,
12.17.6.,"Strojni iskop rova za temelj punionice punionice električnih vozila 1500x900x400 mm i priprema podloge za ugradnju  temelja.
Višak materijala iz iskopa potrebno zbrinuti na deponiju građevinskog materijala.",kom,1,200,200
,,,,,
,Izrada temelja stupa vanjske rasvjete,kom,6,300,1800
12.17.7.,"Izrada temelja (ili dobava radionički izrađenih) za stup visine 10 m iz betona C20/25 bez upotrebe oplate (po potrebi i sa oplatom, bez posebne naplate) dim.1.10 x 1.10 x 1.10 m s ugradnjom temeljnih vijaka stupa - ankera i tri plastične fleksibilne cijevi Φ 100 mm kroz koje će se uvoditi kabeli u podnožje stupa.
Za beton od kojeg se izrađuju temelji potrebno je predočiti dokaz kvalitete betona sukladno važećim propisima za betonske konstrukcije.
Uračunata dobava odgovarajućih temeljnih vijaka.
Dimenzije temelja uzete su iz priručnika ""Dalekovod"" za odabrani tip stupa. U slučaju odabira drugog tipa stupa treba provjeriti i
korigirati dimenzije temelja prema uputstvu odabranog proizvođača. Stavka uključuje ugradnju sidrenih vijaka te PVC cijevi fi 75 mm za prolaz i ulaz kabela, te niveliranje gornje plohe finim cementnim mortom, tj. podlijevanje specijalnim mortovima nakon montaže i niveliranja stupa na temelj, do pune gotovosti za montažu stupa. Obračun po komadu izvedenog temelja.",,,,
,,,,,
12.17.8.,"Izrada zaštite kabelske kanalizacije u zemljanom rovu iz betona C16/20. Zaštita se izvodi visine 20 cm i širine 80 cm.
Obračun po metru izvođenja zaštite.
U cijenu uračunat sav potreban rad i materijal za izvođenje zaštite.",m,55,50,2750
,,,,,
12.17.9.,"Izrada temelja punionice električnih vozila dimenzija 1,45x0,85x0,3m. Temelj se izrađuje od industrijski spravljenog betona C25/30. U cijenu uračunati potrebnu oplatu za izradu temelja, armaturu, postavljanje jedne plastičnih cijevi kroz temelj te ugradnju akera punionice za električna vozila.",kom,1,180,180
,,,,,
,,,,,
,12.17. UKUPNO:,,,,9210
