,,,,,,,
,,,,,,,
,,,,,,,
,0.,PRIPREMNI RADOVI I RUŠENJA ,,,,,
,,,,,,,
,,OPĆI UVJETI,,,,,
,,,,,,,
,,"NAPOMENA: Radovi se izvode prema opisu u troškovniku, prema podacima iz projektne dokumentacije, uz rješavanje svih eventualnih pitanja u suradnji s projektantom i u skladu sa važećim standardima. Sav upotrebljeni materijal mora odgovarati postojećim propisima i standardima. U svemu se strogo pridržavati zahtjeva, uputa i tehnologije proizvođača upotrebljenih materijala, kao i materijala i uređaja koji se montiraju. Sve su dimenzije konstruktivnih elemenata date okvirno. Prije izvedbe obavezno uzeti točne mjere na građevini.
Radovi vezani za blindiranje, demontažu, uklanjanje i/ili sl. elemenata kanalizacije, vodovoda, priključaka elektrike, telefona, grijanja, ventilacija i svih ostalih priključaka nisu predmet obrade ovog troškovnika. U jedinične cijene stavki ukalkulirati sav odvoz na gradilišni deponij (u dvorištu i/ili sl.). Sve radove rušenja i demontaža izvesti na način da se",,,,,
,,"ne oštećuje i ne narušava geometrija postojeće konstrukcije građevine (uglovi, plohe i/ili sl.) i/ili sl.

Prilikom demontaža pojedinih elemenata, vezano uz prenamjenu prostorija, postojeće konstrukcije i pročelja, demontaža postojećih ustakljenih stijena, izvođač se mora u potpunosti pridržavati Pravilnika o zaštiti na radu u građevinarstvu. Voditi računa da se ne oštete dijelovi zgrade koji se ne ruše. Po izvršenom čišćenju, skidanje starog nalića i hrđe, elemenata konstrukcije obavezno je pozvati nadzornog inženjera i projektanta radi detaljnog pregleda postojeće konstrukcije i dogovora odnosno rješavanja detalja za zamjenu uništenih elemenata odnosno za eventualno potrebna ojačanja.
Rad se izvodi uz gradske ukice te je nužno ograditi porstor gradilišta i po potrebi izvesti zaštitnu skelu za prolaznike. Visinu radi dizanja",,,,,
,,"i spuštanja materijala ukalkulirati kod svih radova.

Obaveza je izvođača proučiti sve projekte predmetne građevine, te u jedinične cijene stavki uračunati sve radove, potrebne materijale, njihove količine i/ili sl. (eventualno ne specificirane posebno u samom troškovniku), a koji su (prema uzancama struke, pravilima dobrog zanata i sl.) potrebni za potpuno dovršenje građevine, tj. dovođenje u stanje ""potpuno spremno za uporabu"". Svi takvi radovi i materijali trebaju biti uračunati u jedinične cijene, tj. neće se posebno priznati ni plaćati nikakvi vantroškovnički radovi, materijali, količine i/ili sl. Prije davanja ponude potreban je uvid na licu mjesta.
Obračun radova vrši se prema važećim propisima, po stvarno izvedenim količinama. Jediničnom cijenom obuhvaćen je sav rad, potreban materijal",,,,,
,,"s transportom na gradilište, skele potrebne za izvođenje pojedinih radova, primjena mjera zaštite na radu i drugih važećih propisa. Svi opći opisi, opći uvjeti, obračunsko-tehničke specifikacije i sl. sastavni su dio troškovnika i moraju biti priloženi i ovjereni prilikom davanja ponude.",,,,,
,,,,,,,
,RB,STAVKA,JEDINICA MJERE,KOLIČINA,JEDINIČNA CIJENA,UKUPNA CIJENA,
,,,,,,,
,0.1.,UREĐENJE GRADILIŠTA,,,,,
,,,,,,,
,0.1.1.,Uređenje i organizacija gradilišta,,,,,
