,
ESSO - troškovnik GO,
,
Razina razrade:,IZVEDBENI ARHITEKTONSKI PROJEKT 
Projektirani dio građevine:,"TROŠKOVNIK GRAĐEVINSKO-OBRTNIČKIH RADOVA
"
ZOP:,PBV-1/25
Mapa:,"1/7 - DIO 2
"
Građevina:,"REKONSTRUKCIJA POSTOJEĆE POSLOVNE GRAĐEVINE TRGOVAČKE I UREDSKE NAMJENE – TRGOVAČKI CENTAR EUROSPIN
"
Lokacija građevine:,"Ulica Savska Opatovina, Zagreb
k.č. 3015/3 k.o. Stenjevec jug
"
Investitor:,"EUROSPIN HRVATSKA d.o.o.
Rijeka, Jelačićev trg 7
OIB 62357811032
"
Projektantski ured:,"Projektni biro Vinski d.o.o.
Ulica Ljudevita Šestića 4, 47000 Karlovac
OIB 02717113070
"
Broj tehničkog dnevnika:,"1/25
"
Glavni projektant:,"Silva Grubešić Horvat, dipl.ing.arh., A 2191


"
Projektrant arhitektonskog projekta:,"Ruža Salopek, dipl.ing.arh., A 274


"
Direktor:,"Mladen Vinski, dipl.ing.geod.


"
Mjesto i datum izrade:,"Karlovac, 5.5.2025."
