,,,,,,,,,,
Bill of Quantities,,,,,,,,,,
02/24/2025 12:58:24,,,,,,,,,,
,,,,,,,,,,
Kaufland Hrvatska k.d.,,,,,,,,,,
"Donje svetice 14 10000 Zagreb, Croatia",,,,,,,,,,
Phone: 0994344287,,,,,,,,,,
,,,,,,,,,,
Project: Osijek-Retfala,,,,,,,,,,
"Construction site: Svilajska ul., 31000 Osijek",,,,,,,,,,
Bid package: Građevinsko- obrtnički radovi (S2),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Net total,,,,,265000,,,
,,Discount,0%,,,,0,,,
,,Total amount incl. discount,,,,,265000,,,
,,Statutory VAT,0%,,,,0,,,
,,Gross total,,,,,265000,,,
,,Cash discount/Deadline in days,0%,0,,,0,,,
,,Gross total (cash discount applied),,,,,265000,,,
,,,,,,,,,,
,,,,,,,,,,
Code,Type,Short description,Long description,Quantity,Unit,Unit price,Net total,bidderInputLabels,,
,,,,,,,,,,
200,,Građevinski i niskogradnja,,,,,,,,
201,,Oprema gradilišta,,,,,0,,,
201.000,,Opći uvjeti i napomene,,,,,0,,,
