,,,,,
,STAMBENA ZGRADA,,,,
,,,,,
,1. PRIPREMNI RADOVI,,,,
,,,,,
1.,Dovoz potrebnog materijala i alata na gradilište i izrada nanosne skele za kolčenje objekta na terenu u prirodnoj velčini. Na nanosnu skelu prenijeti sve debljine nosivih zidova i potrebne osi zidova ili drugih konstruktivnih dijelova objekta.,komplet,1,480,480
Dovoz kontejnera na gradilište. Dio kontejnera koristi se kao ured a dio za sitni alat i opremu potrebnu za izvođenje radova.,,kom,1,250,250
3.,Dovoz kemijskog WC-a na gradilište. Isti koristiti do završetka građevinsko-obrtničkih radova.,kom,1,650,650
,,,,,
,PRIPREMNI RADOVI,,UKUPNO:,EURA,1380
,,,,,
,2. ZEMLJANI RADOVI,,,,
,,,,,
1.,Strojno skidanje sloja humusa na površini izgradnje stambene zgrade. Utovar i odvoz materijala na gradilišnu deponiju. Debljina skidanja je cca 20 cm.,m³,35,12,420
2.,"Strojni i ručni iskop temeljnih traka u zemljanom materijalu, utovar i odvoz zemlje na gradilišnu deponiju. Iskop se izvodi 16 cm niže od kote dna temelja, cca 50 cm. Širina iskopa je po 25 cm šira sa obe strane od širine betonskog temelja.",m³,47,18,846
3.,"Nabava, dovoz, nasipanje, planiranje i nabijanje tampona po dnu iskopa temeljnih traka u debljini od 15 cm kao podloge prije betoniranja podložnog betona.",m³,14,22,308
4.,"Nabava, dovoz, nasipanje, planiranje i nabijanje tampona po oko izbetoniranih temeljnih traka u debljini od 25 cm.",m³,12,23,276
5.,"Nabava, dovoz, nasipanje, planiranje i nabijanje tampona  između izbetoniranih temeljnih traka u debljini od 30 cm.",m³,29,20,580
6.,"Nabava, dovoz, nasipanje, planiranje i nabijanje tampona  između izbetoniranih nadtemeljnih zidova u debljini od 18 cm.",m³,22,20,440
7.,"Nabava, dovoz, nasipanje, planiranje i nabijanje tampona  oko objekta na površine gdje se polažu betonski elementi u debljini od 15 cm.",m³,17,19,323
8.,"Dovoz, nasipanje i planiranje čiste zemlje iz iskopa na zelene površine oko objekta.",m³,36,12,432
,,,,,
,ZEMLJANI RADOVI,,UKUPNO:,EURA,3625
,,,,,
,3. BETONSKI I AB RADOVI,,,,
,,,,,
1.,"Nabava materijala, dovoz i betoniranje podložnog betona potrebnog za slaganje armature a prije betoniranja temelja, betonom C15/20, debljine 6 cm. U cijenu uključen kompletan materijal kao i potrebno njegovanje betona.",m³,5.7,130,741
2.,"Nabava materijala, dovoz, montaža daščane glatke daščane oplate i betoniranje armirano betonskih trakastih temelja, betonom C25/30 uz upotrebu vibratora, visine 60 cm. Temelje armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,33.2,173,5743.6
3.,"Nabava materijala, dovoz, montaža glatke daščane oplate i betoniranje armirano betonskih nadtemeljnih zidova presjeka 25x18 cm, betonom C25/30. Zidove armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,3.5,190,665
4.,"Nabava materijala, dovoz, montaža rubne glatke daščane oplate i betoniranje armirano betonske podne ploče, debljine 12 cm, betonom C25/30. Ploču armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,17,198,3366
5.,"Nabava materijala, dovoz, montaža gotovih elemenata oplate (kao Doka) ili glatke daščane oplate i betoniranje armirano betonskih stupova samaca, betonom C25/30. Stupove armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,0.7,240,168
6.,"Nabava materijala, dovoz, montaža glatke daščane oplate i betoniranje armirano betonskih vertikalnih serklaža, betonom C25/30. Serklaže armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,3,212,636
