,,,,,,,,,,,
Prilog 4- Ugovorni troškovnik- TRIBE INŽENJERING d.o.o.,,,,,,,,,,,
31.03.2025.,,,,,,,,,,,
,,,,,,,,,,,
Kaufland Hrvatska k.d.,,,,,,,,,,,
"Donje svetice 14 10000 Zagreb, Hrvatska",,,,,,,,,,,
Broj telefona: 0994344287,,,,,,,,,,,
,,,,,,,,,,,
Projekt: Osijek-Retfala,,,,,,,,,,,
"Gradilište: Svilajska ul., 31000 Osijek",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Ukupni neto iznos,,,,,438500.16,,#REF!,,
,,Popust,0%,,,,,,#REF!,,
,,Ukupni iznos s popustom,,,,,,,#REF!,,
,,Zakonska stopa PDV-a,0%,,,,,,#REF!,,
,,Ukupni bruto iznos,,,,,,,#REF!,,
,,Gotovinski popust/Rok u danima,0%,0,,,,,#REF!,,
,,Ukupni bruto iznos (s gotovinskim popustom),,,,,,,#REF!,,
,,,,,,,,,,,
,,,,,,,,,,,
Kod,Vrsta,Kratki opis,Dugi opis,Količina,Jedinica,Jedinična cijena,Ukupno,Stopa PDV-a,Ukupni bruto iznos,bidderInputLabels,
,,,,,,,,,,,
302,,Radovi na krovovima,,,,,131018.58,,#REF!,,
302.000,,Prethodne napomene,,,,,0,,0,,
,,ZTV - Dodatni tehnički uvjeti ugovora,"1.) Dodatni ugovoreni tehnički uvjeti dio su troškovnika te u slučaju ugovaranja postaju dio ugovora. Izvođač radova se dakle obavezuje na sve radove i primjene koje proizlaze iz ovih uvjeta te su one uračunate u cijenu, ukoliko nisu zasebno ponuđene.

2.) Cijene stavki se prikazuju kao neto iznos u državnoj valuti. Važeći zakonski propisani porez na dodanu vrijednost obračunava se zasebno.

3.) U slučaju proturječnosti dodatnih ugovorenih tehničkih uvjeta vrijede prvenstveno podaci iz troškovnika. U slučaju proturječnosti između troškovnika i tehničke dokumentacije koja se predaje prilikom natječaja, vrijedi tehnička dokumentacija.

4.) Prije početka davanja ponude, ponuditelj je dužan pažljivo pročitati kompletan tekst općih uvjeta uz troškovnik, općih i posebnih uvjeta uz svaku grupu radova, tekst samog troškovnika i ostale dijelove tehničke dokumentacije. Ako opis bilo koje stavke u troškovniku dovodi do sumnje o načinu izvedbe ili upotrebu gradiva zahtijevane kvalitete, treba prije predaje ponude zatražiti pojašnjenje od ovlaštene osobe Investitora. Naknadno pozivanje na manjkavost ili nepoznavanje projektno-tehničke dokumentacije ili opisa u troškovniku neće se uzeti u obzir, niti smatrati razlogom za produženje roka izvedbe, a niti će se priznati bilo kakva razlika u cijeni s tog naslova.

5.) Tehnička dokumentacija koja se predaje prilikom natječaja informativnog je karaktera, a ponuđač je dužan u svom trošku izvršiti kontrolu projektno tehničke dokumentacije u smislu točnosti, tehničke ispravnosti, izvedivosti i međusobne usklađenosti. Sve eventualne primjedbe ponuditelj/izvoditelj dužan je pravovremeno uz ponudu, a u svakom slučaju prije izvedbe u pisanom obliku dostaviti Nadzoru i Naručitelju

6.) Ponuditelj je dužan provesti i kontrolu lokacije na licu mjesta prije davanja ponude. Jedinične cijene za pojedine vrste radova sadrže i sve one posredne troškove koji nisu iskazani u troškovniku, ali su neminovni za izvršenje radova predviđenih projektom.

7.) Organizacija gradilišta uračunata je u cijenu, ukoliko nije ponuđena kao zasebna stavka.

8.) Dizalice za podizanje, skele, strojevi, alati, pomoćna sredstva i konstrukcije uzeti su u obzir te su uračunati u jediničnu cijenu.

9.) Skele za radove na fasadi i radove na krovu predmet su ovog natječaja. Ponuditelj smije koristiti postojeće skele uz poštivanje sigurnosnih uvjeta i na vlastitu odgovornost. Preinake na skelama nisu dozvoljene te se one moraju predati u ispravnom stanju u kojem su i preuzete.

10.) Kompletnu režiju gradilišta usigurava i rješava ponuditelj/izvođač i i uključena je u jediničnu cijenu.

11.) Ponuditelj je obvezan redovno prikupljati i ,pravilno skladištiti i odvoziti na ovlašteni deponij sve otpadne materijale, ostatke, krhotine, građevinski otpad, ambalaže, obični otpad i slično o vlastitom trošku. Kod odlaganja otpada potrebno je pridržavati se svih javnopravnih uputa i propisa.

12.) Onečišćenja koja uslijed radova nastaju na susjednim terenima, zgradama, putovima, cestama, trgovima i slično, izvođač radova treba svakodnevno čistiti.

13.) Izvođač preuzima odgovornost za osiguravanje, skladištenje i spremanje vlastite građevinske opreme, strojeva, uređaja, alata i slično. Jednako vrijedi i za građevinske materijale, elemente i za ugradnju određenih uređaja i objekata sve do primopredaje obavljenih građevinskih radova.

14.) Prilikom izvođenja radova, izvoditelj treba zaštititi sve susjedne plohe, dijelove konstrukcije i prethodno izvedene radove na prikladan način a u skladu sa pravilima zaštite na radu, tako da ne dođe do oštećenja istih. Troškove zaštite treba izvoditelj ukalkulirati u ponudbenu cijenu izvođenja radova. Ukoliko ipak dođe do oštećenja prethodno izvedenih radova za koje je odgovoran izvoditelj ili njegov kooperant, dužan je iste o svom trošku dovesti u stanje prije oštećenja ili naručiti iste radove kod drugog izvoditelja na svoj teret.

15.) Sve potrebne mjere prema javnopravnim uputama i propisima za sigurnost i zaštitu zdravlja trebaju se uzeti u obzir te ih se treba pridržavati prilikom izvođenja radova.

16.) Prilikom davanja ponude i izvođenja radova treba se uzeti u obzir, uračunati i pridržavati se
- svih državnih i javnopravnih zakona, smjernica i propisa
- svih odgovarajućih tehničkih standarda, pravila i smjernica
- općeprihvaćenih pravila tehnike
- uputa, propisa i napomena proizvođača za ugradnju i obradu
- Kauflandovih građevinskih opisa, ugovorenih uvjeta i ostalih Kauflandovih dokumenata i planova.

17.) Stavke troškovnika obuhvačaju konačno dovršenje radova definiranih po količini i kvaliteti, onosno podrazumijevaju se kao gotove, potpune i funkcionirajuće, uklj. sve potrebne male dijelove i sredstva za pričvršćivanje, pomoćne materijale i sredstva, podkonstrukcije itd., kao i sve dodatne i posebne usluge - čak i kada one nisu detaljno opisane.

18.) Ako su treće stranke uključene u izvođenje predradnji, izvođač radova ih treba provjeravati. U slučaju nepravilnosti ili prigovora pravovremeno treba informirati naručitelja, tako da može tehnički i organizacijski dovršiti poslove.

19.) Obavezno se treba pridržavati svih Kauflandovih proizvodnih uputa, osim ako postoje opravdani razlozi za odstupanje (npr. dostupnost). U tom slučaju izvođač treba ponuditi istovjetni proizvod ili sustav te potvrditi istovjetnost. O njoj odlučuje naručitelj.

20.) Sustavi se izvode isključivo pomoću komponenata koje su predviđene od strane proizvođača sustava.

21.) Svi materijali, građevinski elementi i uređaji koji neposredno utječu na izgled i funkcionalnost prije ugradnje se trebaju provjeriti. Ugrađuju se tek nakon što naručitelj ili ovlaštena osoba odobri ugradnju na gradilištu. O vrsti i obliku uzorka odlučuje naručitelj.

22.) Ako nije drukčije propisano, izmjene postojećih projektnih rješenja od strane ponuditelja/izvođača a koje utječu na mehaničku stabilnost, ponuditelj/izvođač je dužan u svom trošku ishoditi sve suglasnosti, dozvole i sl.
Projekt izvedenog stanja ukalkulirati u jedničnu cijenu te dostaviti Kauflandu u pisanom i digitalnom obliku.

23.) Svi radovi na objektu te primjenjeni sistemi gradnje moraju biti izvedeni prema pravilu struke, odnosnu u granicama dopuštenih tolerancija.

24.) Ukoliko je ugovoreni termin izvršenja objekta uključen i zimski odnosno ljetni period, to se neće posebno izvođaču priznavati na ime naknade za rad pri niskoj temperaturi, zaštita konstrukcija od hladnoće i vrućine, te atmosferskih nepogoda, sve mora biti uključeno u jediničnu cijenu. Za vrijeme zime objekat se mora zaštititi. Svi eventualni smrznuti dijelovi moraju se ukloniti i izvesti ponovo bez bilo kakve naplate. Ukoliko je temperatura niža od temperature pri kojoj je dozvoljen dotični rad, a Investitor ipak traži da se radi, Izvođač si ima pravo zaračunati naknadu po normi 6,006 ali u tom slučaju Izvođač snosi punu odgovornost za ispravnost i kvalitetu rada. To isto vrijedi i za zaštitu radova tokom ljeta od prebrzog sušenja uslijed visoke temperature.

25.) U jediničnu cijenu rada izvođač treba obuhvatiti i slijedeće radove, koji se neće zasebno platiti kao naknadni rad, čak i ako nisu izričito navedenei u troškovniku:
- sve vrste transporta građevinskih materijala, elemenata, uređaja, objekata itd. do mjesta ugradnje
- potrebne i uobičajene pripreme i predobrade tla
- sve vrste bušenja, zavarivanja, lijepljenja, malih dijelova, sredstava za pričvršćivanje, međupoložaja, izolacije, brtvljenja, folija, spojeva itd. koje su potrebne za priključak, montažu i pričvršćivanje građevinskih dijelova i elemenata
- stručna priprema i priključak na sve okolne dijelove, ugradbene i nadgradne elemente i propuste
- sve izrade kutova, spojnih površina i elemenata, završnih elemenata, slobodnih krajeva itd.
- sve podloge za montažu, priključak i pričvršćivanje kao što su beton, zidani elementi, čelik, aluminij, limovi, gips karton, itd.
- potrebne spojne, kose i okrugle rezove te ostatke rezanja
- Izrada otvora i proreza za instalacije i ugradbene elemente drugih izvođača
- interno povezivanje kablovima i priključak objekata, dovod prema električnim trošilima na gradilištu od strane elektro izvođača",,,,,,,,
,,Opseg usluga za krovne radove,"U sljedećim pozicijama potrebno je uzeti u obzir i uračunati sljedeće usluge, čak i ako nisu izričito navedene:
- eventualna oštećenja na površini i / ili slojevima pravilno ukloniti
- Dijelovi lima s pojačanjima do promjera 300 mm ili dimenzija 300/300 mm (bez statičke zamjene)",,,,,,,,
302.010,,Trapezni limovi,,,,,131018.58,,#REF!,,
302.010.00100,,"- dobava trapeznog čeličnog lima [T150], debljina [1,0] mm","Dobava vruće pocinčanog trapeznog čeličnog lima, obostrano plastificiran za ravne krovove nagiba do 3%.

Unutarnja strana: 15 µm poliester, RAL 9010 čisto bijelo
Vanjska strana: 12 µm poliester/RSL, slično RAL 9002 (sivo-bijelo)
Profil: [T150]
Debljina lima: [1,0] mm
Statički sustav: postava na pozitivnu stranu, višepoljni nosač (kroz dva ili više polja) ili kontinuirano",4375,m2,19,83125,0%,#VALUE!,,0
302.010.00105,,"- postava trapeznog čeličnog lima [T150], debljina [1,0] mm","Postava vruće pocinčanog trapeznog čeličnog lima, obostrano plastificiran za ravne krovove nagiba do 3%. U cijenu uključena montaža, spojna sredstva, sav ostali rad i ostali sitni materijal te ostale usluge kako bi se stavka izvela do gotove funkcionalnosti.

Unutarnja strana: 15 µm poliester, RAL 9010 čisto bijelo
Vanjska strana: 12 µm poliester/RSL, slično RAL 9002 (sivo-bijelo)
Profil: [T150]
Debljina lima: [1,0] mm
Statički sustav: postava na pozitivnu stranu, višepoljni nosač (kroz dva ili više polja) ili kontinuirano
Prihvat limova: u prethodno ugrađene tipske šine samoreznim vijcima ili vijcima za beton za krovnu konstrukciju",4375,m2,9,39375,0%,#VALUE!,,0
302.010.00110,,"- kutni lim, veza trapeznog lima i atike na zabatima","Isporučiti i montirati čel. lim vruće pocinčan, uključujući sav potreban materijal za montažu na betonsku konstrukciju. Lim saviti u obliku slova ""L"" profila veličine 350/150 mm. Debljina lima 1 mm. Polaže se uz zabatni krovni nadozid i trapezasti lim za ukrućenje ruba krova.",340,m1,20.1867561856316,6863.5,0%,#VALUE!,,0
302.010.00115,,"- otvori do 0,3 / 0,3 m","Izrada otvora u krovnom trapeznom limu za prolaz instalacija ili građevinskih elemenata. Ojačanje oko izrezanog otvora izvesti od čeličnog pocinčanog plastificiranog lima. Izrezani materijal pravilno zbrinuti. Izvedba do gotove funkcionalnosti uključivo sav rad i materijal.

Boja plastifikacije lima za ojačanje: 12 µm poliester/RSL, slično RAL 9002 (sivo-bijelo)
Dimenzija otvora: do 0,30/0,30 m
Debljina lima za ojačanje: 0,60/0,60 m
Debljina lima: ≥ tN 1.5 x tN (trapezni lim)",30,kom,37.6154590381676,1128.46,0%,#VALUE!,,0
302.010.00120,,"- otvori veći od 0,3 / 0,3 m","Izrada otvora u krovnom trapeznom limu za prolaz instalacija ili građevinskih elemenata. Ojačanje oko izrezanog otvora izvesti iz čeličnih profila definiranih statičkim proračunom. Izrezani materijal pravilno zbrinuti. Izvedba do gotove funkcionalnosti uključivo sav rad i materijal.

Dimenzija otvora: veći [0,30/0,30] m

Čelično ojačanje se obračunava u zasebnoj poziciji.",14,kom,37.6154590381676,526.62,0%,#VALUE!,,0
304.060,,Zaštita od pada,,,,,9230,,#REF!,,
304.060.00100,,"- isporuka i ugradnja zaštitnih sidra kao zaštita od pada, trapezni lim","Dobava i ugradnja zaštitnih sidara kao zaštita od pada s ravnog krova tzv. sekuranata ABS POINT. Točkasta sidra su promjera 16 mm , izrađena od nehrđajučeg čelika , ispitana i u skladu s HRN EN 795. Sidra se montiraju na trapezni lim minimalne debljine 0,88mm. Sidro izvesti minimalno 20cm iznad hidroizolacije.

Visina pada: do [10,0] m
Visina krovne konstrukcije: do 300 mm
Montažna podloga: Trapezni lim",32,kom,145,4640,0%,4640,,0
304.060.00105,,"- isporuka i ugradnja sustava za spašavanje, trapezni lim","Sustav za sigurnosno uže prema DIN EN 795 razred C za pričvršćivanje osobne zaštitne opreme protiv pada, u različitim pojedinačnim dužinama, koji se sastoji od nosača i sustava užeta, nosači izolirani s unutarnje strane, izvedba sukladno montažnoj podlozi, broj i razmak nosača prema potrebi, isporučiti i montirati, uklj. sredstva za pričvršćivanje sukladno montažnoj podlozi, kutne, krajnje i unutarnje nosače, sustav užeta s držačima, bravama, zaobilascima, itd.

Visina pada: do [10,0] m
Visina krovne konstrukcije: do 300 mm
Montažna podloga: Trapezni lim",306,m,15,4590,0%,4590,,0
307,,Fasada,,,,,166477.46,,#REF!,,
307.000,,Prethodne napomene,,,,,0,,0,,
