,,,,,,
,,,,,,
,,,,,,
12.,BRAVARIJA,,,,,
,,,,,,
,OPĆI UVJETI,,,,,
,,,,,,
,"NAPOMENA: Radovi se izvode prema opisu u troškovniku, prema podacima iz projektne dokumentacije, uz rješavanje svih eventualnih pitanja u suradnji s projektantom i u skladu s važećim standardima. Sav upotrebljeni materijal mora odgovarati postojećim propisima i standardima. Sve su dimenzije konstruktivnih elemenata date okvirno. Prije izvedbe obavezno uzeti točne mjere na građevini.
Sve mjere i vrste otvaranja (stijene, vrata, prozori i/ili sl.) kontrolirati u naravi na građevini, prije početka radova. Dužnost je izvođača predložiti potrebne dimenzije (debljine i/ili sl.) u kontekstu dimenzija datih građevinskih otvora. Sve su visine date od nivoa gotovog poda. Radioničke nacrte će u okviru jedinične cijene izraditi dobavljač aluminijske bravarije, a potpisom ovjeriti projektant i nadzorni inženjer. Radioničke nacrte aluminijske bravarije izraditi prema shemama i detaljima",,,,,
,"ugradnje iz projekta, te riješiti sve detalje ugradnje.
Ukupni koeficijent prolaska topline Uw svake pojedinačne fasadne stijene u cjelini iznosi maksimalno 1,55 W/m2K, odnosno u svemu prema projektu građevinske fizike.
Ostakljenje svih vanjskih vrata i prozori izvesti dvostrukim termoizolirajućim staklom. Koeficijent prolaska topline svakog stakla Ug iznosi maksimalno 1,1 W/m2K.
Materijal: najmanje 5-komorni aluminijski profili s prekinutim toplinskim mostom, debljine minimalno 70 mm, plastificirani prahom u boji prema ton karti RAL ili jednakovrijedno, a po izboru projektanta. Uz donji doprozornik ugraditi dodatni profil za okapnicu i ugradbu prozorskih klupčica. Krila prozora i vrata izrađena od tanjih aluminijskih profila, također plastificiranih u boji prema ton karti RAL ili jednakovrijedno, a po izboru projektanta. Na",,,,,
,"spoju doprozornika / dovratnika i krila ugraditi minimalno dvije brtve.
Vrata izvesti s minimalno tri 3D podesive petlje (""panta"") po krilu. Broj ključeva prema dogovoru s investitorom i projektantom, za svaka vrata posebno. Sva su zaokretna vratna krila predviđena s po jednim tipskim podnim zaustavljivačem za vrata (od nehrđajućeg čelika, aluminija, kroma i/ili sl.), s odbojnikom od gume. Vrata moraju biti opremljena odgovarajućom brtvom (koja smanjuje zrakopropusnost vratiju, te osigurava mekano nalijeganje krila na dovratnik), te bravom, kvakom ili rukohvatom od nehrđajućeg čelika, štitnikom i/ili sl.
Završna je obrada materijalima, tonovima i nijansama po izboru projektanta.
Fasadna bravarija se izrađuje od aluminijskih profila kao Metra ili Schuco ili jednakovrijedno, prema izboru investitora.",,,,,
,"Strukturalna aluminijska fasada:
Osnovna konstrukcija fasade izrađuje se od sistema samonosivih aluminijskih horizontalnih i vertikalnih pravokutnih profila koji osiguravaju prekid toplinskog mosta. Širina vertikalnih i horizontalnih nosivih profila s unutarnje strane iznosi 50 mm, dok s vanjske strane nema pokrovnog profila. Stakla su zalijepljena za profile, s fugom ispunjenom vidljivom elastičnom silikonskom brtvom (EPDM), širine 20 mm.
Debljina slojeva ostakljenja, kao i dubina vertikalnih profila kontinuirane fasade, određuje se statičkim proračunom koji treba izraditi proizvođač odabranog sustava. Horizontalni su profili, na mjestima spajanja s konstrukcijom, iste dubine kao vertikalni. Sistem profila fasade za odvodnju kondenzata je konstruiran u dvije ravnine odvodnje. Odvodnja se vrši na način da se kondenzat prikupljen u horizontali odvodi u vertikale, te se pomoću sistemskih plastičnih",,,,,
,"odvodnika kondezata, izvede van konstrukcije. Sve brtve na fasadi od EPDM-a prema normi DIN 7863 ili jednakovrijedno.
Žljebovi u horizontalnom i vertikalnom aluminijskom profilu međusobno su povezani i omogućavaju provjetravanje svakog ostakljenog polja preko sva četiri kuta. Ponuđač će pri predaji svoje ponude ponuđenu konstrukciju opisati i potkrijepiti crtežima.
Upotrijebiti međusobno usklađene proizvode kao sistemska rješenja jednog proizvođača. Uključivo svi tipski, kutni, spojni, razdjelni, završni i/ili sl. elementi, sav potreban okov (zaokretni, otklopni, podizni, okretni, klizni, fiksni, odnosno njihove kombinacije i/ili sl.), kvake, rukohvati, brave, ključevi, pragovi, sva potrebna brtvila, opšavi, okapi, kitanja i/ili sl., te antikorozivna zaštita svih elemenata.
Ugradba u zidove od armiranog betona, obostrano ožbukane opeke, gipskartona i/ili sl., obložene",,,,,
,"sustavima izolacija i/ili sl., odnosno prema projektu (predvidjeti sve eventualno potrebne profile za ugradbu i/ili sl., sve uključivo bez posebne napomene).
Spoj unutrašnjeg aluminijskog profila sa zidom izvesti brtvom ili silikonom u boji zida, odnosno prema izboru projektanta. Alternativno, obzirom na suhu montažu, uz stijenu predvidjeti opšavne letvice kvalitete i boje kao osnovni profili, te odgovarajuću potkonstrukciju.
Za sve stavke bravarskih radova izvođač je dužan izvesti odgovarajuće slijepe okvire uz koordinaciju s izvođačima zidarskih, fasaderskih i gipskartonskih radova.
Sve radove po proizvođaču odabranih materijala, treba obvezno izvesti po detaljima i tehnološkim rješenjima istog. To se odnosi kako na korištenje materijala tako i na uporabu odgovarajućeg alata. Glede specifičnosti gore navedenih radova, izvoditelj je dužan prije davanja ponude obvezno",,,,,
