,,,,,,,,,,,
Prilog 4- Ugovorni troškovnik- TRIBE INŽENJERING d.o.o.,,,,,,,,,,,
31.03.2025.,,,,,,,,,,,
,,,,,,,,,,,
Kaufland Hrvatska k.d.,,,,,,,,,,,
"Donje svetice 14 10000 Zagreb, Hrvatska",,,,,,,,,,,
Broj telefona: 0994344287,,,,,,,,,,,
,,,,,,,,,,,
Projekt: Osijek-Retfala,,,,,,,,,,,
"Gradilište: Svilajska ul., 31000 Osijek",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Ukupni neto iznos,,,,,,,420442.01,,
,,Popust,4.3%,,,,,,-17942.01,,
,,Ukupni iznos s popustom,,,,,,,402500,,
,,Zakonska stopa PDV-a,0%,,,,,,0,,
,,Ukupni bruto iznos,,,,,,,402500,,
,,Gotovinski popust/Rok u danima,0%,0,,,,,0,,
,,Ukupni bruto iznos (s gotovinskim popustom),,,,,,,402500,,
,,,,,,,,,,,
,,,,,,,,,,,
Kod,Vrsta,Kratki opis,Dugi opis,Količina,Jedinica,Jedinična cijena,Ukupno,Stopa PDV-a,Ukupni bruto iznos,bidderInputLabels,
,,,,,,,,,,,
200,,Građevinski i niskogradnja,,,,,,,,,
201,,Oprema gradilišta,,,,,,,,,
201.000,,Opći uvjeti i napomene,,,,,,,,,
202.050,,Parkirna platforma,,,,,,,,,
202.050.00100,,- rušenje asfalta,Rušenje ulaznog asfalta debljine cca 10 cm,40,m2,15.2431231913831,609.72,0%,609.72,,0
202.060,,Unutarnji radovi,,,,0,1402.37,,1402.37,,
202.060.00100,,- strojno zascjecanje postojećeg asfalta na mjestu spoja sa novim asfaltom/rubnjakom,Strojno zasijecanje asfaltnih slojeva postojećeg kolnika na mjestima spoja novih i postojećih asfaltnih površina. Uključujući zasijecanje za potrebe spoja kanalizacijske cijevi na postojeću oborinsku u ul. Ivana Gundulića (O.T.U. 1-03.2 - Knjiga I),96,m,13.549442836785,1300.75,0%,1300.75,,0
202.060.00105,,- Lokalno izmještanje vertikalne prometne signalizacije A14,"Postojeći prometni stup s postojećim prometnim znakom A14 koji se premješta lokalno na novu poziciju udaljenu 3 m od postojeće pozicije. Stavka uključuje sve potrebne radove za premještaj FeZn stupa Ø 60,3 mm dužine 2,1 m, s prometnim znakom, lokalno na novu poziciju, uključujući izradu novog betonskog temelja prema detalju iz projekta. Sve prema Pravilniku o prometnim znakovima, singalizaciji i opremi na cestama.",1,kom,101.620821275887,101.62,0%,101.62,,0
202.070,,Strojarski sustavi,,,,0,0,,0,,
202.080,,Vanjski sadržaji,,,,0,59.28,,,,
202.080.00100,,- Rušenje rubnjaka,"Rušenje rubnih ovojnica od betona kao što su visoki i spušteni rubnici, itd., s različitim pojedinačnim dimenzijama, uklj. temelj odnosno stražnji potporanj. - na ulazu u parcelu",14,m,4.2342008864953,59.28,0%,59.28,,0
203,,Zemljani radovi,,,,0,418980.36,,418980.36,,
203.000,,Prethodne napomene,,,,0,0,,0,,
,,ZTV - Dodatni tehnički uvjeti ugovora,"1.) Dodatni ugovoreni tehnički uvjeti dio su troškovnika te u slučaju ugovaranja postaju dio ugovora. Izvođač radova se dakle obavezuje na sve radove i primjene koje proizlaze iz ovih uvjeta te su one uračunate u cijenu, ukoliko nisu zasebno ponuđene.

2.) Cijene stavki se prikazuju kao neto iznos u državnoj valuti. Važeći zakonski propisani porez na dodanu vrijednost obračunava se zasebno.

3.) U slučaju proturječnosti dodatnih ugovorenih tehničkih uvjeta vrijede prvenstveno podaci iz troškovnika. U slučaju proturječnosti između troškovnika i tehničke dokumentacije koja se predaje prilikom natječaja, vrijedi tehnička dokumentacija.

4.) Prije početka davanja ponude, ponuditelj je dužan pažljivo pročitati kompletan tekst općih uvjeta uz troškovnik, općih i posebnih uvjeta uz svaku grupu radova, tekst samog troškovnika i ostale dijelove tehničke dokumentacije. Ako opis bilo koje stavke u troškovniku dovodi do sumnje o načinu izvedbe ili upotrebu gradiva zahtijevane kvalitete, treba prije predaje ponude zatražiti pojašnjenje od ovlaštene osobe Investitora. Naknadno pozivanje na manjkavost ili nepoznavanje projektno-tehničke dokumentacije ili opisa u troškovniku neće se uzeti u obzir, niti smatrati razlogom za produženje roka izvedbe, a niti će se priznati bilo kakva razlika u cijeni s tog naslova.

5.) Tehnička dokumentacija koja se predaje prilikom natječaja informativnog je karaktera, a ponuđač je dužan u svom trošku izvršiti kontrolu projektno tehničke dokumentacije u smislu točnosti, tehničke ispravnosti, izvedivosti i međusobne usklađenosti. Sve eventualne primjedbe ponuditelj/izvoditelj dužan je pravovremeno uz ponudu, a u svakom slučaju prije izvedbe u pisanom obliku dostaviti Nadzoru i Naručitelju

6.) Ponuditelj je dužan provesti i kontrolu lokacije na licu mjesta prije davanja ponude. Jedinične cijene za pojedine vrste radova sadrže i sve one posredne troškove koji nisu iskazani u troškovniku, ali su neminovni za izvršenje radova predviđenih projektom.

7.) Organizacija gradilišta uračunata je u cijenu, ukoliko nije ponuđena kao zasebna stavka.

8.) Dizalice za podizanje, skele, strojevi, alati, pomoćna sredstva i konstrukcije uzeti su u obzir te su uračunati u jediničnu cijenu.

9.) Skele za radove na fasadi i radove na krovu predmet su ovog natječaja. Ponuditelj smije koristiti postojeće skele uz poštivanje sigurnosnih uvjeta i na vlastitu odgovornost. Preinake na skelama nisu dozvoljene te se one moraju predati u ispravnom stanju u kojem su i preuzete.

10.) Kompletnu režiju gradilišta usigurava i rješava ponuditelj/izvođač i i uključena je u jediničnu cijenu.

11.) Ponuditelj je obvezan redovno prikupljati i ,pravilno skladištiti i odvoziti na ovlašteni deponij sve otpadne materijale, ostatke, krhotine, građevinski otpad, ambalaže, obični otpad i slično o vlastitom trošku. Kod odlaganja otpada potrebno je pridržavati se svih javnopravnih uputa i propisa.

12.) Onečišćenja koja uslijed radova nastaju na susjednim terenima, zgradama, putovima, cestama, trgovima i slično, izvođač radova treba svakodnevno čistiti.

13.) Izvođač preuzima odgovornost za osiguravanje, skladištenje i spremanje vlastite građevinske opreme, strojeva, uređaja, alata i slično. Jednako vrijedi i za građevinske materijale, elemente i za ugradnju određenih uređaja i objekata sve do primopredaje obavljenih građevinskih radova.

14.) Prilikom izvođenja radova, izvoditelj treba zaštititi sve susjedne plohe, dijelove konstrukcije i prethodno izvedene radove na prikladan način a u skladu sa pravilima zaštite na radu, tako da ne dođe do oštećenja istih. Troškove zaštite treba izvoditelj ukalkulirati u ponudbenu cijenu izvođenja radova. Ukoliko ipak dođe do oštećenja prethodno izvedenih radova za koje je odgovoran izvoditelj ili njegov kooperant, dužan je iste o svom trošku dovesti u stanje prije oštećenja ili naručiti iste radove kod drugog izvoditelja na svoj teret.

15.) Sve potrebne mjere prema javnopravnim uputama i propisima za sigurnost i zaštitu zdravlja trebaju se uzeti u obzir te ih se treba pridržavati prilikom izvođenja radova.

16.) Prilikom davanja ponude i izvođenja radova treba se uzeti u obzir, uračunati i pridržavati se
- svih državnih i javnopravnih zakona, smjernica i propisa
- svih odgovarajućih tehničkih standarda, pravila i smjernica
- općeprihvaćenih pravila tehnike
- uputa, propisa i napomena proizvođača za ugradnju i obradu
- Kauflandovih građevinskih opisa, ugovorenih uvjeta i ostalih Kauflandovih dokumenata i planova.

17.) Stavke troškovnika obuhvačaju konačno dovršenje radova definiranih po količini i kvaliteti, onosno podrazumijevaju se kao gotove, potpune i funkcionirajuće, uklj. sve potrebne male dijelove i sredstva za pričvršćivanje, pomoćne materijale i sredstva, podkonstrukcije itd., kao i sve dodatne i posebne usluge - čak i kada one nisu detaljno opisane.

18.) Ako su treće stranke uključene u izvođenje predradnji, izvođač radova ih treba provjeravati. U slučaju nepravilnosti ili prigovora pravovremeno treba informirati naručitelja, tako da može tehnički i organizacijski dovršiti poslove.

19.) Obavezno se treba pridržavati svih Kauflandovih proizvodnih uputa, osim ako postoje opravdani razlozi za odstupanje (npr. dostupnost). U tom slučaju izvođač treba ponuditi istovjetni proizvod ili sustav te potvrditi istovjetnost. O njoj odlučuje naručitelj.

20.) Sustavi se izvode isključivo pomoću komponenata koje su predviđene od strane proizvođača sustava.

21.) Svi materijali, građevinski elementi i uređaji koji neposredno utječu na izgled i funkcionalnost prije ugradnje se trebaju provjeriti. Ugrađuju se tek nakon što naručitelj ili ovlaštena osoba odobri ugradnju na gradilištu. O vrsti i obliku uzorka odlučuje naručitelj.

22.) Ako nije drukčije propisano, izmjene postojećih projektnih rješenja od strane ponuditelja/izvođača a koje utječu na mehaničku stabilnost, ponuditelj/izvođač je dužan u svom trošku ishoditi sve suglasnosti, dozvole i sl.
Projekt izvedenog stanja ukalkulirati u jedničnu cijenu te dostaviti Kauflandu u pisanom i digitalnom obliku.

23.) Svi radovi na objektu te primjenjeni sistemi gradnje moraju biti izvedeni prema pravilu struke, odnosnu u granicama dopuštenih tolerancija.

24.) Ukoliko je ugovoreni termin izvršenja objekta uključen i zimski odnosno ljetni period, to se neće posebno izvođaču priznavati na ime naknade za rad pri niskoj temperaturi, zaštita konstrukcija od hladnoće i vrućine, te atmosferskih nepogoda, sve mora biti uključeno u jediničnu cijenu. Za vrijeme zime objekat se mora zaštititi. Svi eventualni smrznuti dijelovi moraju se ukloniti i izvesti ponovo bez bilo kakve naplate. Ukoliko je temperatura niža od temperature pri kojoj je dozvoljen dotični rad, a Investitor ipak traži da se radi, Izvođač si ima pravo zaračunati naknadu po normi 6,006 ali u tom slučaju Izvođač snosi punu odgovornost za ispravnost i kvalitetu rada. To isto vrijedi i za zaštitu radova tokom ljeta od prebrzog sušenja uslijed visoke temperature.

25.) U jediničnu cijenu rada izvođač treba obuhvatiti i slijedeće radove, koji se neće zasebno platiti kao naknadni rad, čak i ako nisu izričito navedenei u troškovniku:
- sve vrste transporta građevinskih materijala, elemenata, uređaja, objekata itd. do mjesta ugradnje
- potrebne i uobičajene pripreme i predobrade tla
- sve vrste bušenja, zavarivanja, lijepljenja, malih dijelova, sredstava za pričvršćivanje, međupoložaja, izolacije, brtvljenja, folija, spojeva itd. koje su potrebne za priključak, montažu i pričvršćivanje građevinskih dijelova i elemenata
- stručna priprema i priključak na sve okolne dijelove, ugradbene i nadgradne elemente i propuste
- sve izrade kutova, spojnih površina i elemenata, završnih elemenata, slobodnih krajeva itd.
- sve podloge za montažu, priključak i pričvršćivanje kao što su beton, zidani elementi, čelik, aluminij, limovi, gips karton, itd.
- potrebne spojne, kose i okrugle rezove te ostatke rezanja
- Izrada otvora i proreza za instalacije i ugradbene elemente drugih izvođača
- interno povezivanje kablovima i priključak objekata, dovod prema električnim trošilima na gradilištu od strane elektro izvođača",,,0,,,,,
,,Kategorije tla prema OTU,"Kategorija tla A - podrazumijevaju se svi čvrsti materijali gdje je potrebno
miniranje kod cijelog iskopa i/ili uporaba strojeva s hidrauličkim čekićem.
Toj skupini pripadaju sve vrste čvrstih i veoma čvrstih kamenih tala , kompaktnih stijena (eruptivnih, metamorfnih i sedimentnih) u zdravom stanju, uključujući i moguće tanje slojeve rastresitog materijala na površini ili takve stijene s mjestimičnim gnijezdima ilovače i lokalnim trošnim ili zdrobljenim zonama

Kategorija tla B - podrazumijevaju se polučvrsta kamenita tla gdje je
potrebno djelomično miniranje , odnosno uporaba strojeva s hidrauličkim čekićem, a
ostali se dio iskopa obavlja izravnim strojnim radom. Toj skupini materijala pripadaju: flišni materijali, uključujući i rastresiti materijal, homogeni lapori, trošni pješčenjaci i mješavine lapora i pješčenjaka, većina dolomita (osim vrlo kompaktnih), raspadnute stijene na površini u debljim slojevima s miješanim raspadnutim zonama, jako zdrobljeni vapnenac, sve vrste škriljaca, neki konglomerati i slični materijali.

Kategorija tla C - podrazumijevaju se svi materijali koje nije potrebno
minirati, nego se mogu kopati izravno, uporabom pogodnih strojeva - buldožerom,
bagerom, ili skrejperom. U ovu kategoriju spadala bi:
● sitnozrnata vezana (koherentna) tla kao što su gline, prašine, prašinaste gline
(ilovače), pjeskovite prašine i les,
● krupnozrnata nevezana (nekoherentna) tla kao što su pijesak, šljunak ,odnosno
njihove mješavine, prirodne kamene drobine - siparišni ili slični materijali,
●mješovita tla koja su mješavina krupnozrnatih nevezanih i sitnozrnatih vezanih
materijala .",,,0,,,,,
,,Opseg usluga zemljani radovi,"Jediničnom cijenom obuhvatiti i slijedeće radove, koji se neće zasebno platiti kao naknadni rad, i to:
- sve podatke i informacije o građevinskom terenu i podzemnim vodama koji su navedeni u procjeni građevinskog terena
- Utvrđivanje stanja okolnih terena, objekata, putova, cesta, trgova i slično, uključujući protokoliranje
- Uklanjanje oštećenja okolnih terena, objekata, putova, cesta, trgova i slično koji nastaju uslijed radova
- Zaštitu postojećih stabala i grmlja
- Utvrđivanje i razmatranje potrebnih mjera za zaštitu (podzemnih) voda
- lokalizaciju i po potrebi osiguravanje postojećih vodova i kanala u radnom području izvođača
- lokalizaciju i po potrebi osiguravanje građevinskih objekata u radnom području izvođača
- lokalizaciju i po potrebi osiguravanje iskolčenja, graničnih kamenja, referentnih točaka, visinskih oznaka, itd. u radnom području izvođača
- ishođenje potrebnih dozvola za iskop kod nadležnih tijela
- Međutransporte i skladištenja radnog materijala izvođača, npr. za stvaranje slobodnog prostora za druge radove
- Ručne radove ukoliko nije moguće koristiti strojeve
- stručni priključak na okolne terene, objekte, putove, ceste, trgove i slično
- Stvaranje pomoćnih pristupnih putova i prilaza - ukoliko nisu uključeni u opseg organizacije gradilišta
- Mjere za odvođenje oborinskih voda kako bi se spriječilo vlaženje i smekšavanje podloge za gradnju i temelje
- Ispumpavanje površinskih i oborinskih voda
- Ishođenje potrebnih javnopravnih dozvola za materijale, građevinske elemente i dodatke koji se trebaju ugraditi u objekt.
- Stvaranje površina za postavljanje bagera",,,0,,,,,
203.010,,Priprema gradilišta,,,,0,0,,0,,
203.020,,Površinski sloj,,,,0,0,,0,,
203.030,,Zemljani radovi,,,,0,0,,0,,
203.040,,Građevinski iskop,,,,0,42004.63,,42004.63,,
