,,,,,
9.2. ISKOP ZADANOG PRESJEKA ,,,,,
Br.st.,Stavka,Jed. mjere,Količina,Jedinična cijena,"Ukupno
[EUR]"
,,,,,
9.2.1.,Iskop zemlje,,,,
,"Iskop zemlje C kategorije za polaganje vodovodnih i odvodnih cijevi van i unutar objekta. Prosječna širina rova je  od 0.8 m, prosječna dubina vodovodnog rova od 1,20 m, a prosječna dubina kanalizacijskog rova od 1,70 m (kod izračuna se od prosječne dubine rova oduzima prosječna visina kolničke konstrukcije 0,4 m). Iskop  vršiti  na dubini nivelete uvećanoj za 10 cm radi izvedbe  ležaja cijevi s pravilnim odsijecanjem  bočnih strana i dna te odbacivanjem iskopanog materijala  na udaljenost 2,0 m od ruba rova. Između rova i odbačenog materijala potrebno je osigurati bankinu širine 80 cm radi komunikacije. U cijenu uzeti i eventualno crpljenje vode. Radovi moraju teći u potpunoj koordinaciji sa montažom cijevi. ",,,,
,"Obračun se vrši po 1,0 m3 iskopanog materijala.",,,,
,- Vodovod vani,,,,
,"(302,0x0,80x0,80) - kolnička konstrukcija =   193,28",,,,
,- Vodovod temelji,,,,
,"(42,0x0,60x0,60) =   15,12",,,,
,- Odvodnja vani,,,,
,"(655x0,80x1,30) - kolnička konstrukcija =  681,2",,,,
,- Odvodnja slivnici,,,,
,"(160,0x0,80x1,0) - kolnička konstrukcija =   128,00",,,,
,- Odvodnja temelji,,,,
,"(228,0x0,80x0,50) =   109,44",,,,
,"1127,04",m³,1127,7,7889
,,,,,
9.2.2.,Proširenje rova,,,,
,"Iskop zemlje C kategorije za proširenje rova za vodomjerno okno,  reviziona okna, separatore, upojno polje.",,,,
,"Obračun se vrši po 1,0 m3 iskopanog materijala, ostalo kao st. 9.2.1.",,,,
,"- Vodomjerno okno 4,70x2,00x2,20 (kom 1)",,,,
,"(6,70x4,00x2,60) = 69,68",,,,
,- RO DN40cm (kom 14 ),,,,
,"(1,40x1,40x1,00) - kolnička konstrukcija = 16,46",,,,
,- RO DN60cm (kom 1 ),,,,
,"(1,60x1,60x1,00) - kolnička konstrukcija = 1,59",,,,
,- RO DN80cm (kom 31 ),,,,
,"(1,80x1,80x1,70) - kolnička konstrukcija = 130,57",,,,
,- RO DN100cm (kom 2 ),,,,
,"(2,00x2,00x2,50) - kolnička konstrukcija = 16,8",,,,
,- RO 100x60cm (kom  2),,,,
,"(2,40x2,00x1,0) - kolnička konstrukcija = 7,68",,,,
,- RO 120x100cm (kom  1),,,,
,"(3,60x3,40x3,06) - kolnička konstrukcija = 32,56",,,,
,- Precrpna stanica 140x120cm (kom  1),,,,
,"(2,60x4,00x5,20) - kolnička konstrukcija = 69,12",,,,
,- Separator ulja DN180cm (kom 1),,,,
,"(2.80x2.80x3,5) - kolnička konstrukcija = 24,3",,,,
,-  Mastolov DN150cm (kom 1),,,,
,"(2,5x2,5x2,90) - kolnička konstrukcija = 15,63",,,,
,"384,39",m³,385,8,3080
,,,,,
9.2.3.,Planiranje dna rova,,,,
,Grubo i fino planiranje dna rova za polaganje cijevi temeljne odvodnje i vodovoda s naročitom točnošću da se osigura pravilno nalijeganje cijevi.,,,,
,- Vodovod,,,,
,"(344,00x0,80) = 275,2",,,,
,- Odvodnja,,,,
,"(1043,00x0,80) = 834,4",,,,
,"1109,6",m²,1110,1.7,1887
,,,,,
,,,,,
9.2.4.,Čisti suhi pijesak,,,,
,"Nabava, doprema i razastiranje čistog suhog pijeska za polaganje vodovodnih i odvodnih cijevi. Šljunčana posteljica za ležaj PVC cijevi, od oblih zrna veličine 8-16 mm, bez organskih primjesa, s dimenzijama danim u nacrtu kanalskog rova i produbljenima na mjestu spojeva cijevi. Uključivo nabava, doprema i ugradnja šljunka, uz strojno nabijanje do min. 90 % prirodne zbijenosti. Posteljica od pijeska debljine 10 cm, a natkrivanje cijevi cca 30 cm od tjemena cijevi.",,,,
,"Obračun se vrši po 1,0 m3 ugrađenog pijeska.",,,,
,- Vodovod vani,,,,
,"(302,0x0,80x0,50) - volumen cjevovoda =   118,38",,,,
,- Vodovod temelji,,,,
,"(42,0x0,60x0,45) - volumen cjevovoda =   11,34",,,,
,- Odvodnja vani,,,,
,"(541x0,80x0,65) - volumen cjevovoda =  254,81",,,,
,- Odvodnja slivnici,,,,
,"(75,0x0,80x0,60) - volumen cjevovoda =   33,65",,,,
,- Odvodnja temelji,,,,
,"(243,0x0,80x0,50) - volumen cjevovoda =   95,26",,,,
,"543,74",m³,544,32,17408
,,,,,
,,,,,
9.2.5.,Zatrpavanje rova,,,,
,"Zatrpavanje rova nakon montaže i ispitivanje temeljnih cijevi, sa materijalom iz iskopa. Prvi sloj iznad cijevi treba biti od sitnog materijala da ne bi došlo do oštećenja cijevi.  Nasipavanje vršiti u slojevima od 20 cm uz pažljivo nabijanje. Zatrpavanje izvoditi nakon izvedbe obloge cijevi pijeskom.",,,,
,"Obračun se vrši po 1,0 m3 stvarno ugrađenog materijala.",,,,
,- Vodovod vani,,,,
,"(302,0x0,80x0,30) - kolnička konstrukcija =   72,48",,,,
,- Vodovod temelji,,,,
,"(42,0x0,60x0,15) =   3,78",,,,
,- Odvodnja vani,,,,
,"(655x0,80x0,65) - kolnička konstrukcija =  340,6",,,,
,- Odvodnja slivnici,,,,
,"(160,0x0,80x0,40) - kolnička konstrukcija =   51,2",,,,
,- Odvodnja temelji,,,,
,"(228,0x0,80x0,10) =   18,24",,,,
,"- Vodomjerno okno 4,70x2,00x2,20 (kom 1)",,,,
,"(6,70x4,00x2,60) - volumen okna = 49,00",,,,
,- RO DN40cm (kom 14 ),,,,
,"(1,40x1,40x1,00) - kolnička konstrukcija - volumen okna = 14,71",,,,
,- RO DN60cm (kom 1 ),,,,
,"(1,60x1,60x1,00) - kolnička konstrukcija - volumen okna = 1,28",,,,
,- RO DN80cm (kom 31 ),,,,
,"(1,80x1,80x1,70) - kolnička konstrukcija - volumen okna = 104,1",,,,
,- RO DN100cm (kom 2 ),,,,
,"(2,00x2,00x2,50) - kolnička konstrukcija - volumen okna = 12,8",,,,
,- RO 100x60cm (kom  2),,,,
,"(2,40x2,00x1,0) - kolnička konstrukcija - volumen okna = 4,32",,,,
,- RO 120x100cm (kom  1),,,,
,"(3,60x3,40x3,06) - kolnička konstrukcija - volumen okna = 25,7",,,,
,- Precrpna stanica 140x120cm (kom  1),,,,
,"(2,60x4,00x5,20) - kolnička konstrukcija - volumen okna = 52,48",,,,
,- Separator ulja DN180cm (kom 1),,,,
,"(2.80x2.80x3,5) - kolnička konstrukcija - volumen okna = 13,44",,,,
,-  Mastolov DN150cm (kom 1),,,,
,"(2,5x2,5x2,90) - kolnička konstrukcija - volumen okna = 10,5",,,,
,"774,63",m³,775,8,6200
,,,,,
9.2.6.,Odvoz zemlje,,,,
,"Odvoz preostale zemlje nakon dovršenog zatrpavanja rova, kamionima na gradsku deponiju na udaljenost od 5 km ili veću, u dogovoru s investitorom. U cijenu je uračunat utovar u transportno sredstvo, transport, te istovar i grubo planiranje na mjestu istovara.",,,,
,Obračun po m3 stvarno izvršenih radova. ,,,,
