,,,,,
,STAMBENA ZGRADA,,,,
,,,,,
,1. PRIPREMNI I ZEMLJANI RADOVI,,,,
,,,,,
1.,Dovoz potrebnog materijala i alata na gradilište i izrada nanosne skele za kolčenje objekta na terenu u prirodnoj velčini. Na nanosnu skelu prenijeti sve debljine nosivih zidova i potrebne osi zidova ili drugih konstruktivnih dijelova objekta.,komplet,1,350,350
2.,Dovoz kontejnera na gradilište. Dio kontejnera koristi se kao ured a dio za sitni alat i opremu potrebnu za izvođenje radova.,kom,1,150,150
3.,Dovoz kemijskog WC-a na gradilište. Isti koristiti do završetka građevinsko-obrtničkih radova.,kom,1,180,180
4.,"Nabava, dovoz, nasipanje, planiranje i zbijanje tampona između nadtemeljnih zidova u stubišnom prostoru i ulazu u objekt, debljine cca 90 cm. ",m³,6,22,132
5.,"Nabava, dovoz, nasipanje, planiranje i zbijanje tampona između nadtemeljnih zidova garažnog prostora, prosječne debljine cca 50 cm. ",m³,18,20,360
,,,,,
,PRIPREMNI I ZEMLJANI RADOVI,,UKUPNO:,EURA,1172
,,,,,
,2. BETONSKI I AB RADOVI,,,,
,,,,,
1.,"Nabava materijala, dovoz, montaža rubne daščane oplate i betoniranje podložnog betona ispod temeljne ploče potrebnog za slaganje armature, betonom C15/20, debljine 6 cm. U cijenu uključen kompletan materijal kao i potrebno njegovanje betona.",m³,4.5,145,652.5
2.,"Nabava materijala, dovoz, montaža daščane glatke rubne oplate i betoniranje armirano betonske temeljne ploče, betonom C25/30 uz upotrebu vibratora, debljine 40 cm. AB ploču armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,32,187,5984
3.,"Nabava materijala, dovoz, montaža daščane glatke  oplate i betoniranje armirano betonskog zida, betonom C25/30 uz upotrebu vibratora, debljine 40 cm. AB zidove armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona. AB zid između temeljnih ploča.",m³,2.5,192,480
4.,"Nabava materijala, dovoz, montaža daščane glatke  oplate i betoniranje armirano betonskih nadtemeljnih  zidova, betonom C25/30 uz upotrebu vibratora, debljine 25 cm. AB zidove armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona. ",m³,6,195,1170
5.,"Nabava materijala, dovoz, montaža daščane glatke rubne oplate i betoniranje armirano betonske podne ploče u garaži, betonom C25/30 uz upotrebu vibratora, debljine 12 cm. AB ploču armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona. ",m³,5.5,180,990
6.,"Nabava materijala, dovoz, montaža daščane glatke rubne oplate i betoniranje armirano betonske podne ploče u prostoru stubišta i ulazu, betonom C25/30 uz upotrebu vibratora, debljine 12 cm. AB ploču armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona. ",m³,1.2,180,216
7.,"Nabava materijala, dovoz, montaža daščane glatke  oplate i betoniranje armirano betonskih nosivih  zidova, betonom C25/30 uz upotrebu vibratora, debljine 25 cm. AB zidove armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona. ",m³,18,208,3744
8.,"Nabava materijala, dovoz, montaža glatke daščane oplate i betoniranje armirano betonskih vertikalnih serklaža, betonom C25/30. Serklaže armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,4.5,198,891
9.,"Nabava materijala, dovoz, montaža glatke daščane oplate i betoniranje armirano betonskih stupova samaca, betonom C25/30. Stupove armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,0.3,220,66
